Date,JBCHEPHARM.NS,APLAPOLLO.NS,TRENT.NS,SOLARINDS.NS,KEI.NS,NAVINFLUOR.NS,UNOMINDA.NS,DEEPAKNTR.NS,RADICO.NS,KPRMILL.NS,MARKET
01-01-2015,82.48017883,33.8037262,142.3319855,593.3530273,55.63839722,135.4663391,19.22316551,77.19512939,91.59623718,36.78337479,7166.7
01-02-2015,82.63144684,32.42657471,145.5371094,634.2297363,54.86294556,131.6603241,19.5199604,69.67186737,84.2264328,48.801548,7239.45
01-03-2015,86.19685364,37.63907623,143.4052582,651.1469116,60.33955002,155.1276855,18.18696976,64.01773071,85.70996857,45.07099152,6978.15
01-04-2015,93.69506073,40.94330215,111.1005325,648.1997681,69.40258789,154.162262,16.91204071,64.48503876,86.28424072,58.67625427,6749.65
01-05-2015,103.5053635,40.66130066,116.232605,662.9450073,71.4381485,168.6715546,17.03474808,62.66262436,82.93431854,56.73603058,6959.85
01-06-2015,102.5329742,35.72610092,109.9492416,710.5099487,67.85169983,180.6465759,15.77574635,58.03652954,78.24443054,57.66107559,6897.2
01-07-2015,122.2400513,41.50262833,119.427948,746.9563599,103.9100418,241.1942444,17.01721764,66.63452911,90.16055298,72.98834991,7106.2
01-08-2015,116.7730865,40.57199478,120.8770981,657.6439209,101.2929077,225.0496368,16.86728477,58.15409851,85.66210175,70.9342804,6669.35
01-09-2015,124.2094269,47.68722534,127.4325485,671.5270996,93.58689117,227.6451263,16.3588295,59.81293869,80.68510437,77.61997986,6646.1
01-10-2015,127.7013474,48.78868866,136.3931274,646.939209,100.1567383,302.811615,16.68443298,61.70875168,98.41591644,76.63132477,6750.95
01-11-2015,124.6123505,55.57390594,157.9707947,630.3522949,109.6468048,345.0048828,27.77905655,67.68058014,109.8663635,79.12440491,6686.1
01-12-2015,124.746666,71.5141449,171.1109924,677.8745728,117.0441971,352.988678,29.67654037,69.71857452,115.4708176,83.12194824,6724.75
01-01-2016,119.0387115,64.75753784,152.3099365,592.8962402,107.116127,331.4594727,25.97940445,62.46707153,110.1562729,70.02606201,6339.45
01-02-2016,108.4062881,53.63798904,139.8443756,581.7375488,87.7953186,242.7221222,24.64170265,56.54266357,91.99015045,60.96117783,5829.95
01-03-2016,111.674324,63.99461746,155.6243286,665.2825928,95.38736725,318.3571777,32.27407455,64.45768738,92.13508606,80.04304504,6452.15
01-04-2016,111.8694382,75.60054016,167.1288452,655.6696777,99.67007446,328.5655823,32.05031204,66.40089417,85.2744751,78.85295105,6588.55
01-05-2016,116.015274,84.15953064,160.8079224,608.62854,104.2447662,390.9758911,38.54086304,78.06014252,82.61717987,94.26187897,6804
01-06-2016,114.1701584,90.16752625,178.7082214,608.4835205,109.160141,383.368988,37.57500458,81.80438232,89.86431122,103.4627762,6980.8
01-07-2016,122.3023987,89.17095184,180.1446228,636.4436035,113.8321609,439.284668,37.66836929,97.58703613,87.30366516,106.7601852,7330
01-08-2016,149.3186951,92.74237823,214.0514374,636.298645,113.1995087,450.5686646,40.64159012,108.8738861,101.9038467,110.1301346,7490.65
01-09-2016,162.4315186,82.88163757,209.9932709,628.1831055,111.5317459,421.2481689,46.94047546,114.2480011,116.816597,117.8783798,7394.85
01-10-2016,176.1234283,88.36434174,196.1707764,640.5012817,114.7574615,491.3426208,58.57867813,107.002533,137.2363739,114.679657,7501.45
01-11-2016,160.8113556,89.08721161,177.3309326,641.6608276,124.1413803,449.7728577,49.50879669,89.9205246,116.4267273,116.0926971,7079.4
01-12-2016,160.3321075,88.21977234,197.1546021,652.0467529,121.0622864,480.1616821,48.7172966,88.28910065,109.1652756,110.3340378,6982.8
01-01-2017,153.988205,100.8604507,234.8834991,671.6593628,134.3561707,505.8456116,56.30110931,102.8759842,109.9937668,110.5663376,7379.3
01-02-2017,150.7705994,104.3977127,240.6388092,690.7406006,174.5799255,482.0335999,70.99220276,103.1158905,126.9533768,113.2085571,7709.1
01-03-2017,157.9816895,113.197525,262.3809204,763.5988159,178.5876465,578.3359375,72.01502991,125.9559174,134.3123169,127.7455521,7995.05
01-04-2017,150.4511414,141.5198059,247.3286743,776.5805664,211.920105,596.8362427,77.88124084,131.3300323,119.7894211,140.569458,8214.3
01-05-2017,154.0566406,137.0331421,240.1960754,805.15979,212.7509613,553.6972046,101.6539688,135.552536,116.5729294,152.4545593,8350.95
01-06-2017,142.7151794,149.3076019,233.1618652,798.9111938,227.1200867,576.8536377,103.7687378,154.8897705,118.3760986,155.6387634,8331.6
01-07-2017,141.4373016,153.3990479,263.4630432,869.826416,226.0448456,670.0498657,128.2625885,156.9990845,137.9186401,153.4998474,8793.3
01-08-2017,125.6916122,151.5195923,294.2355957,856.3603516,250.7804108,628.9290161,136.9079437,172.7183533,161.0187836,146.947525,8694.95
01-09-2017,127.3802795,163.2928162,291.9639282,880.0262451,318.5960083,666.0904541,134.390213,187.7120819,162.4808197,145.9466705,8600
01-10-2017,131.045929,180.8662415,292.0133057,998.6203613,328.0039978,708.1652832,133.0759277,210.0576019,214.7211609,152.3599854,9153.6
01-11-2017,131.2749481,192.0815277,338.2376404,1126.060181,389.008606,660.6521606,201.7841034,201.8352356,279.6026917,138.9230194,9154.5
01-12-2017,154.085434,192.4598999,333.0027771,1147.203247,369.0166626,796.1292114,208.728714,223.9389343,287.8291321,155.4600525,9490.65
01-01-2018,140.7564392,207.9488525,314.1377258,1039.30188,379.061615,762.0005493,200.1290588,269.0169067,354.0327759,141.9262238,9697.9
01-02-2018,144.3520813,199.1687012,312.1623535,998.2800903,380.1396484,776.6201782,183.1162567,252.2335968,339.6364136,140.5021362,9261.9
01-03-2018,142.0389557,192.7558136,340.805603,1038.718628,377.2976379,740.909668,173.2550659,239.8032837,325.3869934,122.5603333,8912.1
01-04-2018,146.5964813,212.8773956,347.4232178,1034.00415,427.8163147,740.0948486,179.1921234,260.4076233,410.1981812,135.2707367,9496.5
01-05-2018,128.1831665,181.7636414,325.5950317,1137.96814,472.6020203,660.4292603,207.5292206,236.175766,450.8898926,117.8423691,9315.35
01-06-2018,118.1062393,160.7106781,298.5321045,1096.606079,400.4255066,604.1071777,205.3687744,235.8855743,405.3014526,123.780983,9162.45
01-07-2018,125.1830063,157.1743622,344.509491,1160.715088,438.5472412,642.5020142,197.2144775,233.7574005,428.2181091,126.8907928,9650.6
01-08-2018,156.1237488,158.6053925,366.1259155,1141.954834,410.2254333,663.387085,210.3774261,254.1419373,483.1593018,131.1727905,9992
01-09-2018,134.9338226,122.8250656,330.2516174,1036.105835,351.8178711,664.7355347,172.782959,287.5573425,340.5627747,117.5542526,9116
01-10-2018,142.1690369,118.4495697,318.805542,979.9562378,302.8214417,627.0779419,151.5519714,241.7388458,386.2067261,116.2448654,8753.45
